Retweet Count,Mention Count,Follower Count,Verified,Tweet Frequency,Hashtag Count,Account Age,Engagement Ratio,Bot Label,Predicted Label,Bot Probability
82,26,1125,0,14,11,274,0.07282415630550622,1,1,0.9998951
167,34,1239,0,40,14,79,0.1346774193548387,1,1,0.9999999
172,22,731,0,32,5,16,0.23497267759562843,1,1,0.9999958
151,39,871,0,43,16,2,0.1731651376146789,1,1,1.0
17,8,2497,0,5,3,2593,0.0068054443554843875,0,0,8.1600024e-07
94,24,792,0,33,17,347,0.11853720050441362,1,1,0.9999982
62,9,4033,0,5,2,2962,0.015369360436291522,0,0,4.8304673e-06
102,19,502,0,41,14,48,0.20278330019880716,1,1,0.99999
196,13,400,0,38,10,125,0.48877805486284287,1,1,0.99999917
55,6,1117,1,3,4,2784,0.049194991055456175,0,0,1.920563e-07
146,15,1596,0,36,5,21,0.09142141515341265,1,1,0.99999547
50,1,1225,0,2,2,2093,0.040783034257748776,0,0,1.7450793e-05
148,39,496,0,40,16,103,0.2977867203219316,1,1,1.0
74,24,946,0,12,19,51,0.0781414994720169,1,1,0.99998796
68,9,4069,0,2,1,1576,0.016707616707616706,0,0,9.0515805e-06
59,16,279,0,45,10,85,0.21071428571428572,1,1,0.99999166
74,0,148,1,5,1,2089,0.4966442953020134,0,0,0.00020089035
139,30,1054,0,17,9,254,0.13175355450236967,1,1,0.99997807
20,0,4466,0,3,3,2459,0.0044772778150884264,0,0,6.395943e-07
59,4,624,0,6,1,2086,0.0944,0,0,3.6948045e-06
151,29,1903,0,20,12,264,0.07930672268907563,1,1,0.9999975
166,11,1682,0,47,9,200,0.09863339275103981,1,1,0.99999774
67,4,4566,0,4,1,2443,0.014670462010072258,0,0,8.861265e-09
142,13,1571,0,24,18,154,0.09033078880407125,1,1,0.9999306
78,20,1467,0,45,8,37,0.05313351498637602,1,1,0.9999312
120,27,1415,0,49,17,336,0.0847457627118644,1,1,0.9999999
32,5,4809,0,5,0,1461,0.006652806652806653,0,0,7.6288295e-08
33,2,3420,0,8,4,2966,0.00964630225080386,0,0,9.394833e-05
46,3,3818,0,2,0,3509,0.012045037968054464,0,0,2.6502682e-06
5,6,3070,0,4,0,2082,0.0016281341582546401,0,0,4.136815e-06
10,9,166,0,2,1,2918,0.059880239520958084,0,0,0.00021056739
6,5,3770,0,7,3,2989,0.0015910898965791568,0,0,1.8617981e-06
5,4,4132,0,9,2,410,0.0012097749818533753,0,0,0.00013250246
68,9,1454,0,8,1,1924,0.04673539518900344,0,0,0.00043732586
20,0,1607,0,9,1,2167,0.012437810945273632,0,0,2.1857291e-05
128,30,754,0,13,15,325,0.1695364238410596,1,1,0.99999917
79,1,2541,1,9,1,2590,0.03107789142407553,0,0,1.9663946e-06
108,7,1288,0,21,11,49,0.08378588052754073,1,1,0.99604166
150,19,1611,0,11,13,132,0.09305210918114144,1,1,0.9998512
166,36,325,0,37,17,1,0.50920245398773,1,1,1.0
60,2,3359,0,6,3,2405,0.017857142857142856,0,0,3.8759816e-05
62,2,4634,0,3,2,1497,0.0133764832793959,0,0,3.5281028e-07
40,3,2215,0,2,0,1278,0.018050541516245487,0,0,2.2098087e-05
70,4,1657,0,7,4,1186,0.04221954161640531,0,0,0.0005113856
134,21,651,0,25,16,159,0.20552147239263804,1,1,0.99999905
6,3,200,0,1,2,3283,0.029850746268656716,0,0,1.8431373e-06
55,3,2642,0,9,2,1511,0.02080968596292092,0,0,0.0005733859
20,3,3765,0,7,3,2255,0.0053106744556558685,0,0,1.0927189e-07
36,9,3560,1,5,4,726,0.010109519797809604,0,0,1.2207215e-07
53,0,3820,0,2,0,3109,0.013870714472651138,0,0,1.7313401e-06
174,18,1102,0,34,19,120,0.15775158658204896,1,1,0.9999999
33,3,781,0,9,0,3608,0.04219948849104859,0,0,1.4104931e-05
124,18,1304,0,12,7,114,0.0950191570881226,1,1,0.998028
68,5,4257,0,2,1,2667,0.015969938938468764,0,0,4.0026466e-06
107,29,1605,0,47,17,196,0.06662515566625156,1,1,0.9999999
56,4,986,0,2,3,2289,0.05673758865248227,0,0,0.00012992672
49,8,1026,0,1,2,906,0.04771178188899708,0,0,0.00023237334
78,7,163,0,35,13,253,0.47560975609756095,1,1,0.9999875
186,30,1871,0,11,18,3,0.09935897435897435,1,1,0.99998856
117,29,479,0,22,11,300,0.24375,1,1,0.9999974
59,6,2822,0,6,0,536,0.02089975203684024,0,0,9.386514e-05
80,6,625,0,41,6,333,0.12779552715654952,1,1,0.9993795
73,9,1745,0,8,2,2373,0.0418098510882016,0,0,0.0008372024
74,5,3242,0,3,1,677,0.022818378045020044,0,0,3.7768616e-05
102,10,175,0,21,5,11,0.5795454545454546,1,1,0.9991997
147,30,1944,0,27,9,100,0.07557840616966581,1,1,0.99996006
56,5,715,0,2,2,619,0.0782122905027933,0,0,0.0011742365
34,7,2528,0,9,2,645,0.013444049031237644,0,0,0.0016349794
54,15,1348,0,24,12,211,0.04002965159377316,1,1,0.9996948
89,36,776,0,35,15,190,0.11454311454311454,1,1,0.9999999
177,33,1156,0,48,16,169,0.1529818496110631,1,1,1.0
20,6,4424,0,8,4,2518,0.004519774011299435,0,0,2.082458e-08
73,0,2008,0,6,4,3085,0.03633648581383773,0,0,9.082087e-06
22,1,1870,0,7,0,2076,0.011758417958311064,0,0,0.00023079744
42,1,852,1,2,1,1022,0.0492379835873388,0,0,7.283699e-06
45,7,2046,0,1,4,3622,0.021983390327308255,0,0,6.449853e-05
26,5,2097,1,7,3,1487,0.012392755004766444,0,0,3.0185068e-09
71,27,1983,0,16,12,89,0.03578629032258065,1,1,0.9997038
14,4,2800,0,9,3,1262,0.004998214923241699,0,0,2.3512424e-05
55,9,4976,0,6,2,3435,0.011050833835643962,0,0,5.756256e-09
63,5,2779,0,1,2,2735,0.022661870503597123,0,0,1.2427853e-05
152,13,1283,0,21,9,323,0.11838006230529595,1,1,0.9999205
72,4,220,1,2,3,697,0.3257918552036199,0,0,6.2736275e-05
6,4,3468,0,8,2,1794,0.0017296050735082155,0,0,2.749418e-05
188,33,405,0,44,10,143,0.4630541871921182,1,1,1.0
46,8,927,0,1,2,1134,0.04956896551724138,0,0,0.000800938
70,5,3835,0,8,1,1929,0.01824817518248175,0,0,3.0938463e-06
29,0,1318,0,6,1,1781,0.021986353297952996,0,0,4.6758846e-06
25,8,2953,0,6,3,720,0.008463100880162491,0,0,2.9756082e-05
49,0,1663,1,8,1,2144,0.029447115384615384,0,0,5.2272744e-06
125,16,948,0,11,12,302,0.13171759747102213,1,1,0.9998828
118,13,775,0,30,15,69,0.15206185567010308,1,1,0.99997914
140,6,660,0,33,19,161,0.2118003025718608,1,1,0.99995804
50,4,3777,1,7,0,1518,0.013234515616728428,0,0,5.1319704e-09
31,2,4171,0,5,4,3494,0.0074304889741131355,0,0,6.015054e-08
56,4,1512,0,6,3,2398,0.037012557832121616,0,0,7.798214e-06
179,36,1610,0,35,10,169,0.1111111111111111,1,1,1.0
5,2,2884,0,3,3,1285,0.0017331022530329288,0,0,3.8719845e-05
39,4,2518,0,7,4,1061,0.015482334259626836,0,0,0.00041854006
180,24,736,0,40,9,104,0.24423337856173677,1,1,1.0
37,7,1881,0,4,3,2428,0.019659936238044632,0,0,5.734458e-06
165,16,1571,0,22,17,39,0.1049618320610687,1,1,0.99999976
161,13,1674,0,49,6,178,0.09611940298507463,1,1,0.99999
64,9,1662,0,31,13,330,0.03848466626578473,1,1,0.99965096
11,3,4341,0,7,2,1388,0.002533394748963611,0,0,5.6302344e-08
18,0,3834,0,5,0,2469,0.00469361147327249,0,0,2.1613126e-07
62,3,3150,0,5,4,2878,0.019676293240241192,0,0,4.975401e-06
37,6,1873,0,9,0,2316,0.019743863393810034,0,0,9.8550394e-05
21,2,2073,0,3,4,2958,0.010125361620057859,0,0,5.7060294e-07
29,3,695,1,8,4,1223,0.041666666666666664,0,0,2.5639215e-06
11,2,544,0,8,3,3215,0.02018348623853211,0,0,1.3765342e-06
70,21,1826,0,41,13,134,0.038314176245210725,1,1,0.9999441
31,3,4155,0,9,3,801,0.007459095283926853,0,0,6.4744936e-06
52,24,878,0,15,11,55,0.05915813424345848,1,1,0.9988392
74,1,4964,0,9,1,3618,0.014904330312185297,0,0,1.6348008e-06
50,9,3882,0,1,3,3180,0.012876641771825908,0,0,8.044388e-06
28,5,3613,0,4,1,2302,0.00774764803541782,0,0,2.3779496e-07
75,13,1110,0,44,12,182,0.0675067506750675,1,1,0.99991214
135,23,1947,0,39,9,348,0.06930184804928131,1,1,0.99997926
60,35,916,0,48,8,87,0.06543075245365322,1,1,0.9999995
189,19,452,0,40,15,101,0.41721854304635764,1,1,1.0
33,1,2824,0,2,3,635,0.01168141592920354,0,0,3.880871e-06
181,26,293,0,47,11,59,0.6156462585034014,1,1,1.0
79,7,3030,1,8,4,1527,0.026064005278785878,0,0,4.3411303e-05
22,6,3400,0,6,1,1269,0.006468685680682152,0,0,7.666711e-08
188,16,1556,0,12,9,78,0.12074502247912652,1,1,0.99994993
124,29,1001,0,30,14,171,0.12375249500998003,1,1,0.99999845
97,26,1088,0,30,16,306,0.08907254361799816,1,1,0.9999975
190,9,1224,0,13,16,334,0.15510204081632653,1,1,0.99999535
170,39,570,0,46,9,146,0.29772329246935203,1,1,0.9999999
130,35,1938,0,43,10,214,0.06704486848891181,1,1,0.9999995
116,16,767,0,45,16,237,0.15104166666666666,1,1,0.9999999
51,19,1907,0,32,17,337,0.026729559748427674,1,1,0.99995744
32,0,2794,0,6,2,1732,0.01144901610017889,0,0,8.174239e-06
76,22,1335,0,33,9,280,0.05688622754491018,1,1,0.99983585
83,19,1943,0,20,10,246,0.042695473251028807,1,1,0.9977373
69,1,3195,0,9,2,1032,0.021589486858573217,0,0,6.589926e-05
173,11,1049,0,32,9,162,0.16476190476190475,1,1,0.9999906
39,3,2030,1,2,1,2692,0.019202363367799114,0,0,3.0737954e-08
57,7,717,0,4,4,1357,0.07938718662952646,0,0,0.00066457293
147,34,1378,0,17,11,63,0.1065989847715736,1,1,0.99999833
30,8,4882,0,7,3,2323,0.006143764079459349,0,0,2.2352087e-07
57,1,2623,1,2,3,3548,0.021722560975609755,0,0,3.5636507e-09
32,4,1130,0,4,2,1628,0.028293545534924844,0,0,2.138246e-05
71,6,971,0,7,1,2262,0.07304526748971193,0,0,5.5242206e-05
107,13,452,0,27,13,304,0.23620309050772628,1,1,0.9997987
29,3,2320,0,9,2,3475,0.012494614390348987,0,0,2.2485136e-07
128,20,168,0,36,12,74,0.757396449704142,1,1,0.9999993
72,2,1314,0,5,2,2106,0.05475285171102662,0,0,2.3642629e-06
14,2,4947,0,3,4,469,0.0028294260307194824,0,0,3.8903836e-06
58,5,4965,0,8,3,743,0.011679420056383408,0,0,9.004707e-06
6,8,3393,0,1,1,1102,0.0017678255745433118,0,0,6.5587383e-06
150,37,285,0,15,16,127,0.5244755244755245,1,1,1.0
196,36,1177,0,36,5,235,0.166383701188455,1,1,0.9999993
44,4,609,0,8,0,2710,0.07213114754098361,0,0,4.1057137e-05
39,1,4332,1,5,3,2142,0.009000692360950842,0,0,7.511046e-11
116,28,1354,0,43,18,278,0.08560885608856089,1,1,1.0
52,7,3822,0,3,0,1690,0.01360188333769291,0,0,8.767122e-06
12,5,4233,0,8,1,3515,0.002834199338686821,0,0,7.190651e-08
21,0,2018,0,4,4,3445,0.010401188707280832,0,0,2.694092e-07
162,33,1874,0,22,9,186,0.0864,1,1,0.9999958
59,10,902,0,22,5,276,0.06533776301218161,1,1,0.98611987
95,12,874,0,19,13,233,0.10857142857142857,1,1,0.9998042
15,9,2342,0,1,0,1399,0.006402048655569782,0,0,0.00012275742
40,6,1569,0,7,0,420,0.025477707006369428,0,0,0.00033484216
181,34,167,0,21,12,291,1.0773809523809523,1,1,1.0
151,27,894,0,13,8,80,0.16871508379888267,1,1,0.99999607
71,33,1720,0,20,12,225,0.04125508425334108,1,1,0.99999046
142,16,1643,0,16,15,55,0.08637469586374696,1,1,0.99999046
66,9,4426,0,9,1,1369,0.014908515925005647,0,0,0.00012678864
168,29,1406,0,33,16,145,0.11940298507462686,1,1,0.9999999
32,7,2562,0,4,1,1528,0.012485368708544674,0,0,1.1637762e-06
72,12,406,0,41,18,347,0.1769041769041769,1,1,0.9999993
35,4,764,1,6,4,1032,0.0457516339869281,0,0,1.1820331e-06
138,39,1372,0,48,11,67,0.10050983248361253,1,1,1.0
158,26,111,0,17,5,52,1.4107142857142858,1,1,0.9999999
82,21,652,0,21,18,155,0.12557427258805512,1,1,0.99999845
185,27,801,0,38,6,20,0.23067331670822944,1,1,0.9999993
23,7,1331,0,6,4,3273,0.017267267267267267,0,0,2.221756e-07
149,30,666,0,40,16,332,0.22338830584707647,1,1,0.99999976
21,8,4698,0,9,1,1339,0.004469035965098957,0,0,1.3245302e-06
10,9,323,0,4,2,590,0.030864197530864196,0,0,0.00017577002
58,8,2377,0,2,0,2508,0.024390243902439025,0,0,1.4453716e-05
35,9,2903,0,5,3,946,0.012052341597796144,0,0,5.0073242e-05
182,27,1989,0,18,14,187,0.0914572864321608,1,1,0.9999441
58,5,2368,0,4,2,1722,0.02448290417897847,0,0,8.886096e-06
41,1,4234,1,6,0,2023,0.009681227863046045,0,0,1.4401829e-09
48,1,3225,0,1,0,3113,0.014879107253564786,0,0,2.8804354e-07
162,34,1716,0,26,15,355,0.09435061153174142,1,1,0.9999982
195,31,901,0,45,19,160,0.21618625277161863,1,1,0.9999999
60,10,1979,0,43,8,357,0.030303030303030304,1,1,0.9995553
153,16,1730,0,30,12,275,0.08838821490467938,1,1,0.99992514
57,2,4518,0,6,1,3104,0.012613410046470458,0,0,2.3221693e-09
43,0,2830,0,7,0,413,0.015188979159307664,0,0,9.0212234e-05
70,28,1749,0,34,11,127,0.04,1,1,0.9999906
75,0,333,1,8,2,3448,0.2245508982035928,0,0,3.4509925e-05
67,3,134,0,9,4,1923,0.4962962962962963,0,0,0.00014426193
43,7,4790,0,2,2,3401,0.008975161761636402,0,0,6.341807e-08
190,35,1201,0,11,11,15,0.15806988352745424,1,1,0.99998105
124,38,1386,0,48,8,331,0.08940158615717375,1,1,0.999959
70,6,128,0,1,4,3352,0.5426356589147286,0,0,5.7954603e-05
68,11,1709,0,47,12,77,0.03976608187134503,1,1,0.99999046
90,15,278,0,33,10,61,0.3225806451612903,1,1,0.9999361
120,23,1611,0,15,15,157,0.07444168734491315,1,1,0.99999547
152,6,924,0,28,8,186,0.1643243243243243,1,1,0.9997329
162,32,1399,0,39,11,153,0.11571428571428571,1,1,1.0
69,2,3908,0,1,0,1721,0.017651573292402148,0,0,7.317099e-05
133,5,918,0,12,6,206,0.14472252448313383,1,1,0.99476093
21,6,898,0,4,4,3334,0.02335928809788654,0,0,1.5849825e-07
29,1,697,0,5,3,2064,0.04154727793696275,0,0,2.892707e-06
198,17,1079,0,46,11,89,0.18333333333333332,1,1,0.9999937
59,6,765,0,8,3,3261,0.07702349869451697,0,0,6.092374e-06
50,7,248,0,8,2,2687,0.20080321285140562,0,0,7.145089e-06
78,1,1202,0,1,2,2553,0.06483790523690773,0,0,4.3338292e-05
182,30,1362,0,22,15,334,0.13352898019075568,1,1,0.9999958
116,34,1225,0,44,19,12,0.09461663947797716,1,1,0.9999995
47,0,4672,0,5,0,2240,0.010057778728867964,0,0,2.719122e-07
170,38,497,0,19,14,363,0.3413654618473896,1,1,1.0
149,28,941,0,21,15,23,0.15817409766454352,1,1,0.99999964
86,10,204,0,10,10,22,0.4195121951219512,1,1,0.998899
137,29,922,0,24,14,51,0.14842903575297942,1,1,0.99999976
74,5,3017,0,1,3,666,0.024519549370444003,0,0,6.453741e-05
42,9,2077,0,7,2,1680,0.02021174205967276,0,0,7.5715136e-05
80,37,1637,0,22,6,314,0.04884004884004884,1,1,0.9996413
177,35,233,0,19,16,230,0.7564102564102564,1,1,1.0
7,5,370,0,4,3,1526,0.018867924528301886,0,0,2.240792e-05
75,1,1685,0,9,1,2260,0.04448398576512456,0,0,0.00013887958
92,30,133,0,16,10,94,0.6865671641791045,1,1,0.9999995
38,7,1188,0,2,4,3584,0.031959629941127,0,0,0.00012541725
198,28,1646,0,13,19,278,0.12021857923497267,1,1,0.9999995
131,5,1477,0,39,18,353,0.08863328822733424,1,1,0.99995625
18,3,3963,0,8,3,2251,0.004540867810292634,0,0,1.416904e-08
28,7,410,0,2,0,2999,0.0681265206812652,0,0,7.2673793e-06
92,33,996,0,46,5,186,0.09227683049147442,1,1,0.99999964
88,32,1639,0,38,15,138,0.05365853658536585,1,1,0.9999999
18,9,3358,0,3,0,420,0.005358737719559393,0,0,2.4885743e-05
171,6,1326,0,26,18,231,0.12886209495101733,1,1,0.9999927
56,8,1066,0,1,0,2997,0.05248359887535145,0,0,1.1791714e-05
102,23,389,0,45,16,168,0.26153846153846155,1,1,1.0
72,8,656,0,6,1,3128,0.1095890410958904,0,0,1.701316e-05
47,6,973,0,3,4,1148,0.048254620123203286,0,0,0.0002780718
41,6,470,0,5,4,1725,0.0870488322717622,0,0,0.00018770076
111,12,241,0,42,6,286,0.45867768595041325,1,1,0.99999607
69,22,288,0,19,12,132,0.23875432525951557,1,1,0.9999951
8,8,4232,0,8,1,3612,0.0018899125915426411,0,0,1.4666352e-05
107,23,594,0,18,16,35,0.17983193277310924,1,1,0.99999714
14,0,3164,0,9,3,2011,0.0044233807266982625,0,0,1.9701278e-05
73,8,540,0,9,3,1669,0.13493530499075784,0,0,0.0011936984
154,10,1036,0,43,19,9,0.1485053037608486,1,1,0.99999917
174,37,109,0,15,9,287,1.5818181818181818,1,1,1.0
66,9,4364,1,4,4,2235,0.015120274914089347,0,0,3.9908656e-08
85,25,1593,0,37,8,208,0.05332496863237139,1,1,0.9999857
100,33,1543,0,27,14,106,0.06476683937823834,1,1,0.99999213
5,6,1802,0,4,3,2304,0.0027731558513588465,0,0,1.2568715e-06
38,0,3309,0,6,3,1453,0.011480362537764351,0,0,9.849848e-06
50,9,382,0,25,19,241,0.13054830287206268,1,1,0.9999032
27,0,639,0,3,4,2535,0.0421875,0,0,1.120595e-06
35,0,3491,0,8,4,1081,0.01002290950744559,0,0,5.5901553e-05
79,35,364,0,26,15,20,0.21643835616438356,1,1,0.99999964
77,1,4755,0,4,3,1442,0.016190075693860388,0,0,4.8157035e-06
29,2,989,0,7,3,1166,0.029292929292929294,0,0,0.00032166188
123,34,92,0,31,10,242,1.3225806451612903,1,1,1.0
143,6,1203,0,41,14,204,0.11877076411960133,1,1,0.9999639
76,1,1880,0,5,3,2932,0.04040404040404041,0,0,7.164954e-07
50,4,3501,0,6,2,1527,0.014277555682467162,0,0,1.923068e-06
92,24,678,0,29,9,338,0.13549337260677466,1,1,0.9999509
123,38,1898,0,35,18,201,0.06477093206951026,1,1,0.9999982
164,35,927,0,13,17,326,0.17672413793103448,1,1,0.99999976
139,21,1919,0,28,17,179,0.07239583333333334,1,1,0.9999869
67,8,1961,1,7,1,932,0.034148827726809376,0,0,5.0430412e-08
138,23,1863,0,40,14,169,0.0740343347639485,1,1,0.99999774
96,17,72,0,34,6,194,1.3150684931506849,1,1,0.9999999
77,2,2291,0,5,1,2868,0.033595113438045374,0,0,1.9324664e-06
90,6,876,0,47,10,168,0.10262257696693272,1,1,0.9999819
41,8,3327,0,7,3,2255,0.012319711538461538,0,0,2.6623113e-06
187,15,431,0,23,10,45,0.43287037037037035,1,1,0.9999912
124,7,962,0,38,6,20,0.12876427829698858,1,1,0.99990034
63,38,288,0,40,14,104,0.2179930795847751,1,1,1.0
34,8,4381,0,3,3,1524,0.007759014148790507,0,0,7.485156e-08
7,2,322,0,6,0,592,0.021671826625386997,0,0,0.00017052755
191,13,962,0,39,9,165,0.19833852544132918,1,1,0.9999957
39,4,1399,0,4,3,3096,0.027857142857142858,0,0,2.7977993e-08
51,4,4107,0,4,2,569,0.012414800389483933,0,0,1.0628615e-05
8,8,3244,0,6,1,2963,0.002465331278890601,0,0,9.907967e-06
23,7,2973,1,5,1,1770,0.00773369199731002,0,0,1.0703765e-07
62,8,1081,0,4,0,3325,0.05730129390018484,0,0,2.0410158e-07
34,1,2299,0,8,3,1391,0.014782608695652174,0,0,0.0007131308
61,24,1710,0,25,18,59,0.03565166569257744,1,1,0.9999902
112,37,1062,0,39,15,332,0.10536218250235184,1,1,0.99999964
27,0,2751,0,7,3,1110,0.009811046511627907,0,0,4.2600564e-05
